name,overview,author,date,changed_file,additions,deletions
spring_boot,first commit,philwebb,"Oct 21, 2012",1 ,0 ,0 
spring_boot,Fast forward existing prototype work,dsyer,"Apr 24, 2013",294 ,"23,494 ",0 
spring_boot,[bs-14] Ensure all servlet context initializers are called,dsyer,"Apr 24, 2013",2 ,28 ,14 
spring_boot,[bs-59] Add zip packaging for cli module,dsyer,"Apr 24, 2013",8 ,164 ,15 
spring_boot,[bs-62] Add integration tests for CLI samples,dsyer,"Apr 24, 2013",14 ,265 ,33 
spring_boot,Improve readability of SpringBootstrapCompilerAutoConfiguration,dsyer,"Apr 25, 2013",1 ,5 ,5 
spring_boot,"[bs-71] ""spring run app.groovy"" stalls at end (non-daemon thread)",dsyer,"Apr 25, 2013",3 ,10 ,7 
spring_boot,[bs-72] Add Batch compiler by default,dsyer,"Apr 25, 2013",4 ,98 ,2 
spring_boot,Remove unnecessary explicit FQCN,dsyer,"Apr 25, 2013",1 ,2 ,2 
spring_boot,Fix help and extend clean command,dsyer,"Apr 25, 2013",2 ,50 ,9 
spring_boot,[bs-73] Anonymous classes cannot be used in,dsyer,"Apr 25, 2013",6 ,81 ,32 
spring_boot,[bs-73] Tweak algorithm for detecting anonymous classes,dsyer,"Apr 25, 2013",1 ,2 ,1 
spring_boot,[bs-19] Add samples and CLI support for Spring Integration,dsyer,"Apr 25, 2013",18 ,475 ,4 
spring_boot,"[bs-72], [bs-75] Add Batch plugin features",dsyer,"Apr 26, 2013",8 ,195 ,54 
spring_boot,[bs-62] Add assertions to CLI integration tests,dsyer,"Apr 26, 2013",2 ,49 ,19 
spring_boot,[bs-47] Add default command line args to SpringApplication,dsyer,"Apr 26, 2013",2 ,100 ,3 
spring_boot,[bs-73] Tweak configuration class detection algorithm some more,dsyer,"Apr 26, 2013",2 ,7 ,2 
spring_boot,Add test for custom context initializer,dsyer,"Apr 26, 2013",1 ,21 ,0 
spring_boot,[bs-73] Tweak algorithm for detecting anonymous classes,dsyer,"Apr 26, 2013",5 ,48 ,9 
spring_boot,[bs-19] Medley of changes supporting integration apps,dsyer,"Apr 29, 2013",21 ,206 ,121 
spring_boot,[bs-78] Add port=0 option to switch off main servlet container,dsyer,"Apr 29, 2013",5 ,56 ,7 
spring_boot,Remove old groovy script code,dsyer,"Apr 29, 2013",23 ,0 ,"1,246 "
spring_boot,[bs-24] Support multi-file compile from command line,dsyer,"Apr 29, 2013",7 ,118 ,45 
spring_boot,[bs-29] Support for XML configuration in groovy apps,dsyer,"Apr 29, 2013",5 ,52 ,10 
spring_boot,Move context initializers into subpackage,dsyer,"Apr 29, 2013",5 ,8 ,6 
